Model;Camera;Left;Top;Right;Bottom
CX482;CAMERA1001;0;0;0;0
CX482;CAMERA1002;0;0;0;0
CX482;CAMERA1003;1961;6558;4463;8768
CX482;CAMERA1004;1880;4802;2842;7322
CX482;CAMERA1005;1882;3070;2799;5640
CX482;CAMERA1006;1938;1738;4387;3877
CX482;CAMERA1007;2501;7471;7979;9527
CX482;CAMERA1008;2333;5769;6812;8157
CX482;CAMERA1009;2453;4006;6467;6416
CX482;CAMERA1010;2387;2261;6812;4633
CX482;CAMERA1011;2506;903;7938;2949
CX482;CAMERA1016;9733;5046;21144;9103
CX482;CAMERA1017;10900;3285;21300;7157
CX482;CAMERA1018;11106;2042;21131;5359
CX482;CAMERA1101;10122;1593;18387;2872
CX482;CAMERA1102;3904;1601;22362;4737
CX482;CAMERA1103;0;0;0;0
CX482;CAMERA1104;3037;3143;22351;5556
CX482;CAMERA1105;3775;4569;21563;6939
CX482;CAMERA1106;0;0;0;0
CX482;CAMERA1107;7912;6368;17504;7862
CX482;CAMERA1108;17321;2225;22889;4557
CX482;CAMERA1109;0;0;0;0
CX482;CAMERA1201;7075;1591;14998;2923
CX482;CAMERA1202;2671;1591;21076;4740
CX482;CAMERA1203;0;0;0;0
CX482;CAMERA1204;2626;3070;22019;5572
CX482;CAMERA1205;3460;4640;21266;7046
CX482;CAMERA1206;0;0;0;0
CX482;CAMERA1207;7461;6368;17032;7845
CX482;CAMERA1208;2123;2253;7705;4595
CX482;CAMERA1209;0;0;0;0
CX482;CAMERA1301;0;0;0;0
CX482;CAMERA1302;3024;4556;5483;6531
CX482;CAMERA1303;3161;5624;7162;6660
CX482;CAMERA1304;3017;3998;8068;5219
CX482;CAMERA1305;3027;4594;6865;6541
CX482;CAMERA1306;3060;5586;4113;6135
CX482;CAMERA1307;0;0;0;0
CX482;CAMERA1308;3851;4567;9547;6546
CX482;CAMERA1309;5211;5622;9253;6723
CX482;CAMERA1310;4442;4016;9529;5211
CX482;CAMERA1311;3747;4579;9542;6536
CX482;CAMERA1312;8301;5551;9344;6102
LWB;CAMERA1003;992;6746;4262;8943
LWB;CAMERA1004;832;5000;4138;7228
LWB;CAMERA1005;827;3245;4123;5470
LWB;CAMERA1006;964;1502;4136;3732
LWB;CAMERA1007;1243;7590;4843;9204
LWB;CAMERA1008;1066;5858;4278;8157
LWB;CAMERA1009;1010;4090;3925;6401
LWB;CAMERA1010;1083;2319;4255;4648
LWB;CAMERA1011;1258;1243;4846;2888
LWB;CAMERA1301;2565;1931;6178;5541
LWB;CAMERA1302;2535;4338;5846;7396
LWB;CAMERA1303;2560;1563;7642;5762
LWB;CAMERA1304;2699;1959;6295;5458
LWB;CAMERA1305;2535;4488;6302;7396
LWB;CAMERA1306;2646;3285;6198;5988
LWB;CAMERA1307;6246;1773;9859;5541
LWB;CAMERA1308;6246;4262;9935;7386
LWB;CAMERA1309;6066;1467;9808;5701
LWB;CAMERA1310;6231;1923;9785;5450
LWB;CAMERA1311;6218;4452;9945;7378
LWB;CAMERA1312;6254;3260;9740;6049
LWB;CAMERA1015;7374;7362;22450;8974
LWB;CAMERA1101;7080;619;22149;2730
LWB;CAMERA1102;2225;1307;13088;4800
LWB;CAMERA1103;6076;908;22374;3365
LWB;CAMERA1104;2491;3100;22514;5617
LWB;CAMERA1105;2496;4564;22488;6952
LWB;CAMERA1106;1634;4100;17940;6604
LWB;CAMERA1107;5515;6375;18113;8195
LWB;CAMERA1108;11966;2238;22494;4631
LWB;CAMERA1109;4731;4678;22509;7023
LWB;CAMERA1012;8080;5769;9709;8788
LWB;CAMERA1013;8057;3493;23887;6967
LWB;CAMERA1014;8100;1565;9704;4757
LWB;CAMERA1016;8442;5642;23554;8659
LWB;CAMERA1017;7710;3300;23230;7110
LWB;CAMERA1018;8419;1801;23554;4841
LWB;CAMERA1019;6811;1380;22425;3131
LWB;CAMERA1201;2895;614;17938;2738
LWB;CAMERA1202;11951;1297;22773;4780
LWB;CAMERA1203;2205;662;18940;3365
LWB;CAMERA1204;2517;3105;22494;5655
LWB;CAMERA1205;2547;4627;22514;7043
LWB;CAMERA1206;7445;4006;23392;6553
LWB;CAMERA1207;6938;6380;19447;8172
LWB;CAMERA1208;2529;2255;13067;4664
LWB;CAMERA1209;2524;4696;20299;7008
SWB;CAMERA1003;2684;6718;4990;8933
SWB;CAMERA1004;2552;4983;5886;7226
SWB;CAMERA1005;2539;3209;5888;5488
SWB;CAMERA1006;2674;1507;4952;3735
SWB;CAMERA1007;2943;7583;6726;9156
SWB;CAMERA1008;2730;5805;5939;8157
SWB;CAMERA1009;2687;4064;5622;6404
SWB;CAMERA1010;2775;2296;5932;4636
SWB;CAMERA1011;2948;1256;6654;2898
SWB;CAMERA1012;9140;5769;12948;9029
SWB;CAMERA1013;9860;3476;22745;6937
SWB;CAMERA1014;9122;1398;12920;4770
SWB;CAMERA1016;10545;5599;22346;8580
SWB;CAMERA1017;9700;3360;21160;7125
SWB;CAMERA1018;10533;1870;22382;4866
SWB;CAMERA1015;9865;7337;22194;8887
SWB;CAMERA1101;8648;627;21930;2791
SWB;CAMERA1102;4176;1350;22280;4806
SWB;CAMERA1103;7899;703;22603;3360
SWB;CAMERA1104;4259;3108;22245;5615
SWB;CAMERA1105;4285;4569;22217;6957
SWB;CAMERA1106;3295;4021;17669;6637
SWB;CAMERA1107;7291;6373;17877;8200
SWB;CAMERA1109;6707;4671;22291;7028
SWB;CAMERA1012;9140;5769;12948;9029
SWB;CAMERA1013;9860;3476;22745;6937
SWB;CAMERA1014;9122;1398;12920;4770
SWB;CAMERA1016;10545;5599;22346;8580
SWB;CAMERA1017;9700;3360;21160;7125
SWB;CAMERA1018;10533;1870;22382;4866
SWB;CAMERA1019;9817;1522;23300;5711
SWB;CAMERA1201;3080;634;16159;2756
SWB;CAMERA1202;2725;1327;20807;4773
SWB;CAMERA1203;2413;657;17141;3362
SWB;CAMERA1204;2755;3098;20720;5663
SWB;CAMERA1205;2778;4640;20725;7053
SWB;CAMERA1206;6903;4054;21689;6632
